title,rating,box_office,budget,runtime,release_year,sadness,joy,love,anger,fear,surprise,Team_Review_Score_sum,Team_Review_Score_mean,Team_Audience_Score_Mean,Team_Tomato_Meter_Mean,Team_Num_reviews,Cast_Review_Score_sum,Cast_Review_Score_mean,Cast_Audience_Score_Mean,Cast_Tomato_Meter_Mean,Cast_Num_reviews,Cast_audienceScore,Cast_tomatoMeter,Team_audienceScore,Team_tomatoMeter,is_in_collection,collection_id,collection_box_office_average,cast_top_1_contrib,cast_top_2_contrib,cast_top_3_contrib,cast_top_4_contrib,cast_top_5_contrib,director_top_1_contrib,writer_top_1_contrib,writer_top_2_contrib,writer_top_3_contrib,distributor_top_1_contrib,,sony pictures releasing,universal pictures,warner bros.,new line cinema,columbia pictures,warner bros. pictures,buena vista pictures distribution,paramount pictures,20th century fox,surround,dolby sr,dts,sdds,dolby digital,some violence,some language,drug use,violence,sexual content,thematic elements,sexuality,nudity,language,pervasive language,action,sci-fi,romance,kids & family,drama,adventure,comedy,horror,fantasy,mystery & thriller,Unknown Cast,Star Studded Cast,Steady Performers,Emerging Ensemble,Unknown Director / Writer,Established Team,Blockbuster Team,Emerging Director / Writer
13 going on 30,3,96000000.0,37000000.0,98.0,2004.0,0.0046132043935358,0.9190754890441896,0.0019855578429996,0.0705454722046852,0.0021242466755211,0.001656025648117,,,,,,,,,,,,,,,False,0.0,0.0,324341100.0,153520938.45454547,90380263.42857143,81684909.875,,87800048.2,96000000.0,,,122711155.8005865,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
13 hours the secret soldiers of benghazi,6,69400000.0,50000000.0,144.0,2016.0,0.0020134723745286,0.0027176574803888,0.0005045280558988,0.9618908762931824,0.0324798263609409,0.000393689784687,35.598400000000005,0.0885532338308457,59.67,42.37688442211055,402.0,5.8266,0.3427411764705882,51.588235294117645,38.0,17.0,33.0,70.0,51.0,79.0,False,0.0,0.0,130060000.0,69400000.0,58202815.777777776,,,470907142.85714287,69400000.0,,,96204226.7745098,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False
13 sins,6,13809.0,5000000.0,92.0,2014.0,0.0006357511156238,0.0012084149057045,0.0002258846943732,0.0032139890827238,0.9923012256622314,0.0024146551731973,0.5399999999999999,0.0674999999999999,33.875,64.875,8.0,4.274800000000001,0.4274800000000001,49.5,62.7,10.0,48.0,74.0,68.0,17.0,False,0.0,0.0,81437936.33333333,22337936.333333332,14338766.333333334,4256904.5,102854.5,35106904.5,13809.0,,,82275303.84,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
1408,3,133000000.0,25000000.0,104.0,2007.0,0.003297597868368,0.0018527774373069,0.0004944868851453,0.99066823720932,0.0034679030068218,0.000218937464524,0.5574,0.5574,80.0,88.0,1.0,20.381200000000007,0.2911600000000001,66.10144927536231,57.71428571428572,70.0,50.0,37.0,61.0,79.0,False,0.0,0.0,151503794.69767442,74085714.28571428,52678094.19444445,45683333.333333336,,106100000.0,96733333.33333333,55975000.0,55975000.0,57199792.428571425,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True
1492 conquest of paradise,0,7191000.0,47000000.0,156.0,1992.0,0.0007249666377902,0.002481086179614,0.0009521243628114,0.9914186000823976,0.0041259927675127,0.0002972558431793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,89.0,92.0,84.0,False,0.0,0.0,193895819.85714287,117942130.27272727,39131404.45454545,,,196712875.8181818,7191000.0,,,7191000.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
16 blocks,3,65700000.0,52000000.0,102.0,2006.0,0.017135364934802,0.0713167712092399,0.0417509898543357,0.8381410241127014,0.0281845349818468,0.0034713032655417,2.1161,0.3526833333333333,49.5,23.83333333333333,6.0,10.5633,0.1553426470588235,62.63235294117647,49.4264705882353,68.0,15.0,4.0,40.0,26.0,False,0.0,0.0,129152024.6923077,65700000.0,53132593.75,46466666.666666664,,113339778.0,109871734.0,,,144026079.2747604,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True
16 years of alcohol,6,7500.0,0.0,102.0,2003.0,0.9383348822593688,0.0011249869130551,0.0009566935477778,0.0565310753881931,0.002744217403233,0.0003082246694248,0.0,0.0,0.0,0.0,0.0,0.6249,0.6249,39.0,64.0,1.0,,,68.0,80.0,False,0.0,0.0,53203750.0,51201875.0,633200.0,311500.0,241720.0,7500.0,7500.0,,,7500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
17 again,3,139500000.0,40000000.0,105.0,2009.0,0.6917346715927124,0.0074140205979347,0.0012806748272851,0.2576896548271179,0.0409286990761756,0.0009522809996269,0.4332,0.1444,49.0,34.0,3.0,4.7152,0.23576,58.5,43.25,20.0,91.0,43.0,45.0,46.0,False,0.0,0.0,139500000.0,125513333.33333333,114800000.0,50128571.428571425,43080000.0,64866666.666666664,152100000.0,,,144026079.2747604,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
18 again,0,2300000.0,0.0,93.0,1988.0,0.7469602823257446,0.0264740195125341,0.0018499196739867,0.1017382442951202,0.1212428659200668,0.001734651508741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,25996810.75,7266666.666666667,3050000.0,2300000.0,1289450.0,6900000.0,2300000.0,,,7943864.0625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
1941,0,94900000.0,35000000.0,118.0,1979.0,0.0018009085906669,0.0031151897273957,0.0005771941505372,0.012644893489778,0.980316698551178,0.0015451156068593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,29.0,93.0,91.0,False,0.0,0.0,118266666.66666667,96740000.0,57018712.42307692,53155945.166666664,33817440.61111111,384323809.52380955,169333333.33333334,169333333.33333334,132656494.33333333,98087031.61585365,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
